locus_tag	ftype	length_bp	gene	EC_number	COG	product
Agy99_00001	CDS	1500	dnaA		COG0593	Chromosomal replication initiator protein DnaA
Agy99_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
Agy99_00003	CDS	1080	recF		COG1195	DNA replication and repair protein RecF
Agy99_00004	CDS	564				hypothetical protein
Agy99_00005	CDS	2079	gyrB1	5.6.2.2		DNA gyrase subunit B
Agy99_00006	CDS	2520	gyrA1	5.6.2.2		DNA gyrase subunit A
Agy99_00007	tRNA	75				tRNA-Ile(gat)
Agy99_00008	tRNA	74				tRNA-Ala(tgc)
Agy99_00009	CDS	840	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
Agy99_00010	CDS	762	tipA			HTH-type transcriptional activator TipA
Agy99_00011	CDS	405	cwsA			Cell wall synthesis protein CwsA
Agy99_00012	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
Agy99_00013	CDS	426				hypothetical protein
Agy99_00014	CDS	282	crgA			Cell division protein CrgA
Agy99_00015	CDS	744				hypothetical protein
Agy99_00016	CDS	687	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
Agy99_00017	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
Agy99_00018	CDS	1359	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
Agy99_00019	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
Agy99_00020	CDS	1410	rodA		COG0772	putative FtsW-like protein
Agy99_00021	CDS	1560	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
Agy99_00022	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
Agy99_00023	CDS	1599	fhaA		COG1716	FHA domain-containing protein FhaA
Agy99_00024	CDS	1335				IS256 family transposase IS2606
Agy99_00025	tRNA	84				tRNA-Leu(cag)
Agy99_00026	CDS	744				hypothetical protein
Agy99_00027	CDS	675		1.-.-.-		putative oxidoreductase
Agy99_00028	CDS	753				hypothetical protein
Agy99_00029	CDS	525	osmX		COG1732	Osmoprotectant-binding protein OsmX
